balance,contribution,followers,following,id,rank,rank_score,trust,trust_7d,tvf,web3_id
23977133.0,359.57,46806,1002,0x7bfee91193d9df2ac0bfe90191d40f23c773c060,1,0.756287,78369,823,1106854851.0,an0n
28441974.0,338.66,24129,995,0x33eecc48943aaeabb5328a25ff28eb85f67945c2,2,0.727442,16102,73,800384525.0,33EE
29845720.0,8.79,59900,193,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,3,0.726013,7970,58,1200823712.0,Ethereum
5201118.0,232.34,13857,209,0xbbbc35dfac3a00a03a8fde3540eca4f0e15c5e64,4,0.713891,37402,1649,1021258810.0,0xbbbc
36109469.0,54.29,17480,611,0x3e8734ec146c981e3ed1f6b582d447dde701d90c,5,0.706596,13273,220,683579557.0,DeFiWhale
10760672.0,340.3,26543,652,0x5c9e30def85334e587cf36eb07bdd6a72bf1452d,6,0.706595,27812,923,1134857218.0,TradFiWhale
12197198.0,867.86,28539,1423,0x171c53d55b1bcb725f660677d9e8bad7fd084282,7,0.703354,42771,1040,867045948.0,MoneyPrinter1
133607.0,1554.45,37248,1429,0x9d17bb55b57b31329cf01aa7017948e398b277bc,8,0.702058,111734,2934,1217384728.0,nerd
103783200.0,0.15,4572,261,0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,9,0.699757,6533,37,475239064.0,Humpy_is_GOLD
12482663.0,502.51,15122,579,0xd92293daca6bbed57f8cb6d498b48ea93e035e99,10,0.697707,19905,1673,810912686.0,4What
27687374.0,56.82,16088,525,0x47441bd9fb3441370cb5b6c4684a0104353aec66,11,0.695391,9854,348,661145034.0,Powerstake
1638866.0,1023.45,26942,573,0xa4c8d9e4ec5f2831701a81389465498b83f9457d,12,0.695301,4858,1076,1225985989.0,SoldmanGachs
14815585.0,222.88,17245,907,0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,13,0.694083,11597,43,855832431.0,just_a_guy
2149671.0,513.12,21905,624,0x0edefa91e99da1eddd1372c1743a63b1595fc413,14,0.677268,37945,681,761071157.0,Enerow
1562658.0,535.72,19900,844,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,15,0.674335,9225,822,1002674886.0,VY100
1010844.0,386.89,40256,457,0xb72ed8401892466ea8af528c1af1d0524bc5e105,16,0.672962,46966,453,819703128.0,Gekko
510321.0,610.54,16233,2991,0xbdb7819a671b83e04800a98e00294a67d7d2ec7a,17,0.669826,63154,4160,972247855.0,Millionaire
116565.0,485.71,18824,679,0xada7673b48d656a87cad01bcbafe6b1ee6d621ed,18,0.668361,50680,2879,802257629.0,cryptorun
3547096.0,549.33,8403,343,0x5baac7ccda079839c9524b90df81720834fc039f,19,0.667388,10926,1553,721434394.0,Octoshi
4611837.0,244.87,23354,66,0xa7888f85bd76deef3bd03d4dbcf57765a49883b3,20,0.664296,12041,667,663062963.0,Transhumanist
343762.0,266.01,11662,517,0x5d47e5d242a8f66a6286b0a2353868875f5d6068,21,0.664063,15713,1258,533811397.0,Pandario
606801.0,277.72,36731,691,0x14ff0bc9417b6796f79768729002a793b51205b8,22,0.664037,46413,694,757893621.0,defigen
344173.0,405.77,12111,107,0x0c86262354095fa35a21b58af3e0dd94d0ba767c,23,0.662272,53837,1642,651924837.0,YoungHustler
701228.0,199.17,7303,976,0xaa0c3d6fd25aa2c23aed2659197ef39aea306172,24,0.661729,12743,1720,771712478.0,TopBigSBHodler
1417840.0,129.42,52954,338,0x0228028a0c92cfd9743e561a96b16edbb4606054,25,0.660819,61378,409,988174767.0,QUID
401822.0,107.06,14258,250,0x9ed2af9d4ab71740e4d63fab593be7e8701ea169,26,0.659769,23504,821,653977020.0,yobit
2815991.0,132.52,9210,731,0x5d2f29aa18aef827317c48bd2b4f05fa24880038,27,0.658457,11686,690,407125032.0,kimpercy
227830.0,297.88,11723,328,0xbcb4c8386c097589e7825aaeb9e7c6295835f1d6,28,0.657222,13355,848,646889792.0,alex
355983.0,638.58,13121,1041,0x36243ade16d74eedbb3f2b8b2ecf286f538ef5fd,29,0.656116,85258,1931,686289605.0,Doomer
10226160.0,0.0,31570,6,0x26fcbd3afebbe28d0a8684f790c48368d21665b5,30,0.655765,1548,6,748867398.0,EverydayWhale
7082806.0,81.49,10932,998,0x614d98a57a5d879d717152de0690ed2b04562ade,31,0.655617,2549,384,678998205.0,ZeroPants
6979307.0,309.52,8438,1229,0x4e5ed30e3b4eb39abce3c150f31e180a3ae5806e,32,0.655605,61793,3171,534158290.0,domconex
476043.0,69.07,32866,42,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,33,0.654755,4360,11,677376709.0,vitalik
420179.0,594.48,9800,1010,0x50df7d6ef23c1e77dbcf49031a7f37e77e8fe0ba,34,0.654088,40234,1474,491785564.0,caybach
3808566.0,59.78,16212,6,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,35,0.652753,4070,6,565296811.0,cp0x_1
2936183.0,176.66,14613,116,0x473d3a2005499301dc353afa9d0c9c5980b5188c,36,0.652632,5579,115,674706702.0,yieldfarming
155245.0,261.48,13110,918,0x5dac9ccc215b9af65b486066786f79d9aa0043da,37,0.651723,10224,935,642969103.0,DeFiGod
11203.0,679.46,14382,2862,0x05bb279648e4e4cbcdecf2d4d6ec310999d444e7,38,0.650638,63986,2966,593602772.0,CryptoFortochka
54327.0,440.15,11389,1556,0xd692e8e0dbd3b4b9dfefe0500f097c17abea4583,39,0.648718,43050,1868,498780566.0,phihung209
123830.0,302.79,10636,1294,0x25954b95ea02df586e07688de9543eea5bae31d7,40,0.64858,43909,1288,546418537.0,FantomKing
40666.0,0.13,52235,1002,0x66b870ddf78c975af5cd8edc6de25eca81791de1,41,0.647729,34153,311,839823500.0,a16z
34118.0,363.63,7558,1150,0x78a18ddecda44f7d298d9b37512ed8a7f6b226c7,42,0.647614,27494,1305,486871317.0,nett
524582.0,389.02,8027,958,0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,43,0.647325,40189,998,634738312.0,Dantellox
11385184.0,181.92,9553,371,0xde6b2a06407575b98724818445178c1f5fd53361,44,0.64669,1071,451,597149717.0,samurai
30305.0,780.92,19484,1889,0x786694b02f1d331be540e727f1f2a697c45b57e4,45,0.645953,56561,1801,569804266.0,x777
606932.0,0.0,10463,1429,0xa67b426eb6de4c24ecb3f778ed3f9c09ae0699cb,46,0.645762,20394,4,933185021.0,BugsBunny
2312456.0,158.2,10541,307,0x73051a64044fea61a6100eb0b55c9087be32cca3,47,0.645263,5310,321,610995446.0,DegenPanda
9348323.0,28.99,4717,288,0x0b32aa5c1e71715206fe29b7badb21ad95f272c0,48,0.643564,4058,30,607029209.0,cryptojazz
51413.0,384.62,10011,2209,0xc32b7438b3df7844c9ee799930a2224fe6e26426,49,0.643074,18205,1314,415807131.0,MrBlueSky
10216821.0,0.26,10039,113,0x11d67fa925877813b744abc0917900c2b1d6eb81,50,0.641033,3191,24,593823529.0,Indodax
2497208.0,129.53,12719,140,0x854f1269b659a727a2268ab86ff77cfb30bfb358,51,0.639624,2267,46,610287254.0,invictus369
844528.0,96.17,15061,596,0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,52,0.638456,24727,722,625352903.0,SKAKUN
17424.0,403.33,9518,535,0xd16f4529c9e88eecc04a04f2ee9fdfd05f6b4a01,53,0.637715,31659,1026,712469409.0,DeFi_Club
236711.0,126.7,8903,2792,0xa6ed26749cb54591291b4550a82f15ff64ae98d9,54,0.637315,30662,629,625065616.0,hannry
36141.0,350.62,5781,597,0x4070e40fc3e382437ab7bac2249205d276bdd15a,55,0.63698,21117,1174,417845124.0,CryptoFreak
