rank,rank_score,web3_id,id,balance,tvf,followers,following,trust,trust_7d,contribution,sybil,not_sybil
1,0.761875,an0n,0x7bfee91193d9df2ac0bfe90191d40f23c773c060,25864090.0,1073634556.0,45745,1003,73801,4199,1483.03,5,98
2,0.733778,DeFiWhale,0x3e8734ec146c981e3ed1f6b582d447dde701d90c,42163367.0,664911823.0,17014,607,12394,2135,189.17,0,59
3,0.729315,Ethereum,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,28492463.0,1192543601.0,59488,192,7861,500,164.42,1,43
4,0.721372,33EE,0x33eecc48943aaeabb5328a25ff28eb85f67945c2,29399611.0,773495852.0,23332,989,15832,19,259.99,26,124
5,0.715834,Powerstake,0x47441bd9fb3441370cb5b6c4684a0104353aec66,29982039.0,641554801.0,15674,464,8942,1603,287.67,1,94
6,0.71398,TradFiWhale,0x5c9e30def85334e587cf36eb07bdd6a72bf1452d,11121649.0,1110652570.0,25360,626,22772,3258,605.7,4,55
7,0.711035,just_a_guy,0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,15538321.0,822055846.0,15113,874,4556,1664,143.82,2,61
8,0.710761,MoneyPrinter1,0x171c53d55b1bcb725f660677d9e8bad7fd084282,13404166.0,839835298.0,27653,1330,40077,1819,877.72,7,139
9,0.705807,0xbbbc,0xbbbc35dfac3a00a03a8fde3540eca4f0e15c5e64,6010796.0,951394573.0,12032,214,31189,3420,443.64,0,20
10,0.702997,Humpy_is_GOLD,0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,110292074.0,457464317.0,4073,261,6395,65,1.48,0,38
11,0.698179,nerd,0x9d17bb55b57b31329cf01aa7017948e398b277bc,125661.0,1205630867.0,36614,1389,102659,3658,1133.91,0,76
12,0.695688,4What,0xd92293daca6bbed57f8cb6d498b48ea93e035e99,12870661.0,795320826.0,14287,546,14977,4162,335.44,0,45
13,0.691258,Gekko,0xb72ed8401892466ea8af528c1af1d0524bc5e105,978092.0,792178082.0,39837,451,43735,1732,1298.48,2,54
14,0.687371,SoldmanGachs,0xa4c8d9e4ec5f2831701a81389465498b83f9457d,1070481.0,1155110406.0,24377,813,2545,2253,594.2,0,11
15,0.680629,Enerow,0x0edefa91e99da1eddd1372c1743a63b1595fc413,2214198.0,746440878.0,21130,586,35775,865,816.16,5,47
16,0.673646,Transhumanist,0xa7888f85bd76deef3bd03d4dbcf57765a49883b3,7423087.0,628274188.0,23268,56,9009,1619,379.53,0,14
17,0.669009,QUID,0x0228028a0c92cfd9743e561a96b16edbb4606054,1467184.0,988835353.0,52631,334,59187,775,141.51,3,43
18,0.668582,VY100,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,2435080.0,987351128.0,19252,707,7421,568,560.5,4,31
19,0.665342,EverydayWhale,0x26fcbd3afebbe28d0a8684f790c48368d21665b5,10712893.0,724945909.0,31404,6,1515,17,0.0,0,19
20,0.664495,Millionaire,0xbdb7819a671b83e04800a98e00294a67d7d2ec7a,372427.0,963073306.0,15525,3000,53473,1140,237.64,7,127
21,0.663896,cryptorun,0xada7673b48d656a87cad01bcbafe6b1ee6d621ed,93596.0,791488467.0,18156,674,42558,2464,353.39,3,49
22,0.661235,cp0x_1,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,2616190.0,543691045.0,16119,6,3779,288,171.56,50,28
23,0.661058,Pandario,0x5d47e5d242a8f66a6286b0a2353868875f5d6068,329736.0,517744675.0,11452,516,10809,2072,459.7,0,9
24,0.65864,vitalik,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,498302.0,646061103.0,33317,40,4104,138,294.42,0,16
25,0.658525,defigen,0x14ff0bc9417b6796f79768729002a793b51205b8,635379.0,729080097.0,36578,689,45436,484,245.62,3,55
26,0.65682,Vladilena,0x4ee79e19c9c398e364d135f01b25dccc0473047c,23868602.0,353648029.0,10039,126,1489,693,101.12,0,20
27,0.65582,BugsBunny,0xa67b426eb6de4c24ecb3f778ed3f9c09ae0699cb,628305.0,935522791.0,10293,1369,20209,60,18.47,3,71
28,0.655463,YoungHustler,0x0c86262354095fa35a21b58af3e0dd94d0ba767c,391044.0,619369774.0,10326,104,46789,1031,252.93,0,19
29,0.655183,TDM503,0x7522682a93738e7da3ab42959d61cd809fe62440,141599.0,634355558.0,10699,1360,29223,1198,259.05,0,27
30,0.654962,alex,0xbcb4c8386c097589e7825aaeb9e7c6295835f1d6,241063.0,635164380.0,11487,320,10317,1202,353.82,1,71
31,0.652725,domconex,0x4e5ed30e3b4eb39abce3c150f31e180a3ae5806e,6729390.0,533241190.0,7892,1161,52156,3970,263.23,11,123
32,0.651802,ZeroPants,0x614d98a57a5d879d717152de0690ed2b04562ade,6988835.0,677560816.0,10703,999,2072,26,50.08,1,73
33,0.649997,caybach,0x50df7d6ef23c1e77dbcf49031a7f37e77e8fe0ba,347320.0,473860204.0,9939,992,34171,3039,619.1,0,24
34,0.649518,hannry,0xa6ed26749cb54591291b4550a82f15ff64ae98d9,285215.0,617762311.0,9752,2663,28609,2846,476.46,32,27
35,0.648846,Doomer,0x36243ade16d74eedbb3f2b8b2ecf286f538ef5fd,351587.0,674710498.0,13024,1029,79568,2694,782.4,1,46
36,0.647437,1f07,0x84a6a7c0674a3aa03e09c026600cb46181821f07,3143969.0,533019946.0,8426,1068,7725,996,354.42,9,323
37,0.647016,SKAKUN,0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,826825.0,614287888.0,12537,591,22279,1023,192.94,1,28
38,0.646886,kimpercy,0x5d2f29aa18aef827317c48bd2b4f05fa24880038,3259686.0,367430804.0,8947,581,10257,464,418.83,0,19
39,0.646471,FantomKing,0x25954b95ea02df586e07688de9543eea5bae31d7,88653.0,530502844.0,10521,1272,40534,1548,439.3,0,114
40,0.646326,Indodax,0x11d67fa925877813b744abc0917900c2b1d6eb81,10196279.0,577368789.0,9872,112,2680,386,95.67,0,20
